Wide(Inches),Weight(Pounds),Ram Size(GB),Ram Type,HDD,Processor,Battery(mAh),Camera(MP),Display,Label
10.9,1.01,8,DDR3,32GB,1.8,3229,8,IPS,5
3.3,0.143,16,DDR4,64GB,2.5,1371,1.3,IPS,6
14.0,4.73,16,DDR4,128GB,2.58,4169,1.9,LED,1
14.0,5.82,16,DR2,512GB,2.42,3886,2.1,IPS,2
15.8,2.33,16,DDR3,512GB,3.01,4553,2.1,IPS-LCD,3
14.7,3.13,16,DDR4,128GB,3.81,4091,3.1,LTPS-SCREEN,4
10.4,1.49,16,DDR4,16GB,1.8,3516,1.3,AMOLED,5
4.3,0.144,2,DDR4,128GB,1.3,2282,12,LED,6
14.8,7.6,8,DDR3,1TB,2.42,3028,1.3,LED,1
14.3,4.2,8,DR2,256GB,2.34,3250,1.2,AMOLED,2
15.7,2.69,4,DDR3,1TB,2.87,3145,2.1,IPS-LCD,3
15.1,3.67,2,DDR4,1TB,4.07,4945,2.1,IPS,4
12.0,0.75,2,DDR4,64GB,1.8,4615,13,IPS,5
3.4,0.15,4,DR2,128GB,2.5,1492,16,IPS-LCD,6
15.6,6.67,8,DDR4,128GB,2.88,5273,2.1,LTPS-SCREEN,1
15.4,4.75,4,DDR4,512GB,2.44,3358,2.1,IPS-LCD,2
15.7,2.68,16,DDR4,1TB,3.2,4979,1.9,IPS,3
15.2,3.34,2,DR2,256GB,3.8,4683,2.1,OLED,4
11.4,1.71,2,DDR3,64GB,2.36,4372,4,IPS-LCD,5
3.7,0.187,4,DR2,128GB,1.8,2246,108,IPS,6
15.1,5.01,2,DDR4,1TB,2.63,3780,2.1,LTPS-SCREEN,1
14.3,5.49,16,DR2,1TB,2.96,3860,1.9,LTPS-SCREEN,2
15.7,2.65,2,DR2,256GB,2.41,4785,1.2,AMOLED,3
14.4,3.21,2,DDR4,1TB,4.21,4830,4,LTPS-SCREEN,4
10.1,1.47,16,DDR3,64GB,1.8,3209,6,LTPS-SCREEN,5
3.5,0.163,4,DDR3,128GB,2.96,2751,1.3,OLED,6
14.3,4.4,8,DR2,256GB,2.71,2714,2.1,AMOLED,1
14.6,5.41,16,DDR3,512GB,2.8,2666,4,LED,2
15.7,2.81,8,DDR3,1TB,3.42,5743,3.1,LTPS-SCREEN,3
15.2,2.94,16,DDR3,256GB,4.15,3843,1.3,IPS-LCD,4
11.2,1.42,4,DDR4,32GB,1.5,3009,10,LED,5
3.6,0.145,16,DDR3,16GB,2.5,2107,13,IPS,6
15.1,2.14,16,DDR3,256GB,2.83,3210,1.3,LED,1
15.0,5.96,16,DR2,256GB,3.0,3602,2.1,IPS-LCD,2
15.7,2.85,8,DDR3,128GB,3.18,4201,3.1,IPS-LCD,3
14.3,3.72,4,DDR3,256GB,4.04,4174,3.1,IPS-LCD,4
11.0,1.22,4,DDR3,16GB,2.36,3645,2,IPS,5
5.1,0.157,2,DDR3,32GB,1.5,1364,12,IPS,6
15.8,7.53,8,DDR3,1TB,2.45,3135,1.9,OLED,1
15.4,5.4,2,DDR3,512GB,2.33,3871,1.9,LED,2
15.8,2.61,16,DDR4,128GB,2.72,4910,3.1,IPS,3
14.9,3.09,8,DDR3,256GB,3.98,3924,2.1,OLED,4
10.4,1.76,4,DR2,32GB,1.5,4892,8,AMOLED,5
5.5,0.17,16,DR2,32GB,1.3,3430,32,AMOLED,6
13.5,5.24,16,DR2,512GB,3.47,5250,4,IPS-LCD,1
14.7,4.36,16,DDR4,128GB,2.38,3252,4,OLED,2
16.0,2.42,2,DDR3,256GB,2.42,4055,1.9,IPS-LCD,3
15.6,3.07,16,DDR3,512GB,3.8,3908,1.2,OLED,4
11.0,1.22,4,DR2,64GB,1.3,4806,1.3,OLED,5
5.2,0.181,16,DDR3,16GB,2.36,1368,108,LTPS-SCREEN,6
15.7,2.81,16,DDR4,256GB,3.23,5598,1.9,OLED,1
15.0,5.91,8,DDR3,512GB,2.52,3225,1.3,IPS,2
15.8,2.98,16,DR2,256GB,3.49,4346,1.9,IPS,3
15.3,3.75,2,DR2,128GB,4.5,4316,1.3,LTPS-SCREEN,4
10.5,1.45,2,DDR3,64GB,1.8,4091,8,LTPS-SCREEN,5
5.0,0.169,4,DDR3,32GB,1.5,670,3,IPS,6
14.2,4.52,4,DR2,256GB,2.26,2189,2.1,IPS,1
14.4,5.54,16,DR2,128GB,2.92,3775,1.9,IPS,2
16.0,2.34,2,DR2,128GB,2.81,4224,1.9,IPS,3
14.4,3.52,16,DDR4,1TB,4.18,4591,3.1,OLED,4
11.8,0.94,2,DDR3,32GB,1.5,3546,3,LTPS-SCREEN,5
5.1,0.175,16,DR2,128GB,2.96,2534,32,IPS,6
13.8,2.69,4,DR2,1TB,3.36,2976,1.9,IPS-LCD,1
14.7,5.93,2,DDR3,256GB,2.36,3641,3.1,LED,2
15.6,2.62,4,DDR4,128GB,3.38,5779,2.1,IPS-LCD,3
15.2,3.78,8,DDR3,1TB,3.73,4292,4,LED,4
11.9,1.38,2,DDR3,16GB,2.36,4598,6,IPS,5
3.0,0.159,4,DDR4,32GB,2.36,3633,10,LTPS-SCREEN,6
14.5,7.95,16,DDR3,1TB,2.95,2785,3.1,LTPS-SCREEN,1
15.2,4.55,8,DR2,256GB,2.88,2620,3.1,IPS-LCD,2
15.7,2.5,16,DDR3,256GB,2.98,2199,1.2,LED,3
14.9,2.91,16,DDR4,128GB,4.17,4263,1.9,OLED,4
9.8,1.64,8,DR2,32GB,1.3,3897,6,IPS,5
3.5,0.152,16,DDR4,64GB,2.5,816,2,LED,6
15.7,5.33,16,DDR4,512GB,2.88,2027,3.1,IPS,1
14.7,4.68,4,DR2,1TB,2.86,2822,2.1,LTPS-SCREEN,2
15.9,2.67,2,DDR4,256GB,2.49,3924,1.3,IPS-LCD,3
14.5,3.31,4,DDR4,512GB,3.98,3757,1.9,AMOLED,4
11.0,1.36,2,DDR4,64GB,2.36,3773,2,OLED,5
3.5,0.178,16,DDR4,32GB,2.5,3055,6,IPS-LCD,6
13.0,2.09,4,DDR3,256GB,2.34,4310,3.1,AMOLED,1
14.3,4.94,8,DDR4,128GB,2.62,2706,3.1,LTPS-SCREEN,2
15.8,2.48,4,DR2,256GB,2.83,4796,1.3,AMOLED,3
15.3,3.8,2,DR2,1TB,4.24,4421,1.9,LED,4
9.8,0.92,16,DDR3,64GB,1.3,2681,12,IPS,5
3.2,0.157,4,DR2,32GB,1.3,609,6,IPS,6
13.4,4.61,8,DR2,512GB,2.19,5633,4,IPS,1
14.7,4.44,4,DR2,1TB,2.38,2721,1.9,AMOLED,2
15.6,2.55,8,DR2,1TB,2.85,3870,1.9,LTPS-SCREEN,3
14.9,3.52,8,DR2,256GB,4.44,3967,1.2,AMOLED,4
10.2,0.78,16,DDR3,16GB,2.36,4558,8,LED,5
4.6,0.158,16,DDR4,64GB,2.5,1920,12,OLED,6
13.3,4.92,4,DDR3,1TB,3.31,3233,1.2,IPS-LCD,1
15.0,5.45,2,DDR4,128GB,2.77,2982,3.1,IPS-LCD,2
15.8,2.82,8,DR2,1TB,2.86,2369,4,OLED,3
13.9,3.23,8,DDR3,1TB,4.47,4605,2.1,OLED,4
9.8,1.27,4,DDR4,16GB,2.36,4550,13,LED,5
4.0,0.142,2,DDR3,32GB,1.8,3753,4,LTPS-SCREEN,6
13.0,4.99,2,DDR4,128GB,2.49,4190,3.1,LED,1
14.6,5.79,8,DDR3,512GB,2.94,3356,1.9,OLED,2
15.8,2.53,16,DDR4,128GB,2.92,5640,1.3,OLED,3
14.9,3.79,16,DDR3,1TB,4.32,4392,1.9,LTPS-SCREEN,4
11.7,0.71,4,DDR4,16GB,1.8,3004,8,IPS,5
3.3,0.148,4,DR2,64GB,1.5,2002,12,IPS,6
15.8,3.98,2,DDR4,512GB,2.55,5827,4,IPS,1
14.1,5.4,2,DDR4,512GB,2.74,3105,4,LED,2
15.7,2.44,8,DDR4,512GB,2.56,3483,4,LED,3
15.5,3.55,4,DR2,512GB,3.85,4409,1.2,LTPS-SCREEN,4
10.2,1.0,8,DR2,32GB,1.3,3357,2,IPS-LCD,5
3.1,0.15,2,DR2,64GB,1.5,867,3,LTPS-SCREEN,6
13.5,5.91,16,DR2,256GB,1.95,3973,3.1,IPS-LCD,1
15.2,4.39,2,DDR3,1TB,2.3,3573,1.2,IPS-LCD,2
15.8,3.0,4,DR2,256GB,2.99,2762,2.1,LTPS-SCREEN,3
14.3,2.99,4,DDR4,512GB,3.8,4636,2.1,LTPS-SCREEN,4
10.9,0.73,8,DDR3,64GB,1.5,4509,3,LTPS-SCREEN,5
4.8,0.172,16,DDR4,16GB,1.8,2392,4,OLED,6
14.8,3.7,16,DR2,1TB,1.99,3064,1.9,LTPS-SCREEN,1
15.1,4.7,16,DDR4,1TB,2.69,2669,1.2,LED,2
15.8,2.36,16,DDR3,256GB,2.41,2576,1.9,LTPS-SCREEN,3
13.7,3.4,16,DDR4,256GB,4.43,4979,3.1,OLED,4
11.8,1.58,4,DR2,16GB,1.8,3026,10,IPS-LCD,5
5.0,0.153,16,DDR4,64GB,1.5,3549,10,IPS-LCD,6
14.5,7.93,2,DR2,256GB,2.16,4900,1.9,AMOLED,1
14.5,4.43,4,DR2,512GB,2.86,2772,1.9,AMOLED,2
15.7,2.44,4,DDR4,512GB,2.96,4875,3.1,AMOLED,3
15.2,3.01,2,DR2,512GB,4.46,4448,4,IPS-LCD,4
11.8,0.71,4,DR2,16GB,1.5,3561,1.3,IPS,5
5.3,0.183,16,DDR3,16GB,2.96,1290,6,IPS-LCD,6
15.6,2.47,8,DR2,128GB,3.2,4966,1.3,AMOLED,1
14.1,5.44,4,DDR3,512GB,2.37,3065,1.3,LED,2
15.8,2.59,4,DR2,1TB,3.2,3758,1.2,IPS-LCD,3
14.2,3.47,2,DDR4,256GB,4.49,4465,3.1,IPS,4
10.9,1.03,8,DDR3,16GB,2.36,2946,6,LED,5
4.8,0.186,16,DR2,32GB,1.8,1698,4,IPS-LCD,6
14.9,5.31,16,DDR3,256GB,3.07,2197,3.1,IPS-LCD,1
14.5,4.54,16,DR2,128GB,2.8,3550,1.2,LED,2
15.7,2.33,2,DDR4,512GB,2.78,4631,1.9,LED,3
13.8,2.94,4,DR2,512GB,4.13,4040,1.3,OLED,4
11.9,0.77,8,DDR4,32GB,1.8,4335,13,LED,5
4.8,0.144,4,DDR4,64GB,1.3,1324,4,LED,6
14.9,2.92,16,DDR4,1TB,2.91,3448,1.9,AMOLED,1
15.0,4.09,4,DDR4,512GB,2.49,3651,1.3,AMOLED,2
15.9,2.95,4,DDR4,128GB,3.11,5894,3.1,IPS-LCD,3
14.1,3.04,2,DR2,1TB,4.01,3640,2.1,OLED,4
11.3,1.16,2,DDR4,64GB,1.8,3269,12,OLED,5
4.2,0.18,4,DDR3,16GB,1.5,3121,1.3,IPS,6
13.4,5.83,16,DR2,1TB,2.04,3456,2.1,OLED,1
14.7,5.31,4,DDR4,1TB,2.55,3874,3.1,OLED,2
15.9,2.73,8,DDR3,256GB,2.88,2574,1.2,IPS,3
14.1,3.53,8,DR2,512GB,4.35,4640,3.1,IPS,4
10.3,1.55,8,DR2,16GB,2.36,3385,8,IPS-LCD,5
3.8,0.149,4,DDR3,128GB,2.36,1381,2,IPS,6
14.6,3.28,16,DR2,128GB,1.96,2148,1.9,LED,1
15.2,4.3,4,DDR4,256GB,2.93,3965,4,IPS,2
15.7,2.34,2,DR2,512GB,2.78,4707,1.2,AMOLED,3
14.6,3.64,4,DDR3,1TB,3.79,3800,1.9,OLED,4
10.9,1.46,4,DDR3,16GB,1.5,3623,12,LTPS-SCREEN,5
4.6,0.176,2,DR2,64GB,2.96,2532,16,AMOLED,6
14.8,5.47,4,DR2,1TB,2.46,2325,3.1,IPS-LCD,1
15.4,4.95,4,DDR4,512GB,2.68,2604,1.2,IPS-LCD,2
15.7,2.85,16,DDR4,128GB,2.41,2105,3.1,IPS-LCD,3
15.0,3.1,16,DDR4,128GB,3.94,4277,1.3,LTPS-SCREEN,4
10.1,0.83,8,DR2,32GB,1.8,2618,1.3,LED,5
3.8,0.132,8,DDR3,16GB,2.36,2889,1.3,LTPS-SCREEN,6
15.0,3.51,8,DDR4,512GB,1.7,3843,1.2,LTPS-SCREEN,1
15.2,4.62,2,DR2,512GB,2.51,3781,3.1,LTPS-SCREEN,2
15.8,2.55,16,DDR4,1TB,3.21,3493,1.9,LTPS-SCREEN,3
15.4,3.17,8,DDR3,1TB,3.92,4417,1.2,LED,4
11.8,1.69,16,DR2,64GB,2.36,4561,13,LED,5
5.1,0.16,8,DDR4,32GB,1.3,2257,12,OLED,6
15.5,6.33,2,DR2,1TB,1.81,2038,1.3,OLED,1
14.2,4.93,4,DDR3,256GB,2.98,3629,4,IPS,2
15.8,2.44,4,DR2,1TB,3.41,2396,1.2,OLED,3
14.8,3.69,8,DDR3,256GB,4.26,4142,1.3,LED,4
10.4,1.62,16,DDR3,32GB,1.5,3531,10,IPS,5
4.4,0.135,8,DDR4,64GB,1.5,2053,16,LED,6
14.6,2.66,8,DR2,512GB,3.35,4149,1.9,IPS-LCD,1
15.4,5.67,2,DDR3,1TB,2.77,3026,1.3,IPS,2
15.9,2.61,16,DDR4,128GB,2.95,3730,4,OLED,3
15.5,3.73,8,DDR4,512GB,4.45,4367,1.3,IPS-LCD,4
11.3,1.51,16,DR2,32GB,1.5,3932,1.3,LTPS-SCREEN,5
3.7,0.155,16,DR2,128GB,2.96,3874,32,OLED,6
13.8,4.97,2,DDR3,128GB,3.49,4381,2.1,OLED,1
14.3,4.59,4,DR2,128GB,2.88,3419,4,LTPS-SCREEN,2
15.9,2.59,16,DR2,256GB,2.92,5621,2.1,LED,3
14.0,3.39,2,DR2,1TB,4.37,4343,1.3,LTPS-SCREEN,4
10.7,1.72,4,DR2,16GB,1.3,4703,4,AMOLED,5
3.9,0.136,4,DR2,128GB,1.3,3981,4,IPS-LCD,6
15.6,5.0,2,DDR3,512GB,1.65,2746,1.3,OLED,1
14.1,5.75,16,DDR3,512GB,2.69,2603,1.2,AMOLED,2
15.8,2.53,4,DR2,256GB,3.11,5729,1.3,LTPS-SCREEN,3
14.8,3.75,2,DDR4,256GB,3.81,4726,3.1,AMOLED,4
11.2,1.51,2,DDR3,16GB,1.8,3987,4,LED,5
4.5,0.151,16,DDR4,128GB,2.96,1133,4,OLED,6
15.1,3.16,16,DR2,128GB,3.4,4725,2.1,AMOLED,1
14.1,5.03,2,DR2,128GB,2.36,2670,1.2,AMOLED,2
15.8,2.96,4,DDR4,1TB,2.55,2085,1.9,AMOLED,3
14.2,3.2,16,DDR4,1TB,4.34,4318,2.1,LED,4
9.8,0.7,16,DDR4,16GB,2.36,3210,8,IPS,5
5.0,0.131,4,DDR4,32GB,1.8,892,10,LTPS-SCREEN,6
13.6,6.87,16,DDR4,512GB,3.03,4693,2.1,OLED,1
14.9,4.81,16,DDR3,512GB,2.38,2503,1.2,IPS,2
15.8,2.32,2,DR2,256GB,2.37,4603,1.3,OLED,3
14.6,3.57,8,DDR4,512GB,3.75,3679,1.9,LED,4
10.0,0.96,16,DDR4,64GB,1.8,4299,4,OLED,5
3.3,0.173,2,DDR4,64GB,1.3,1370,12,OLED,6
13.2,6.82,2,DDR4,512GB,1.65,2852,1.2,LED,1
15.2,5.35,4,DDR3,512GB,2.78,2821,1.2,IPS-LCD,2
16.0,2.97,2,DR2,512GB,2.88,3276,2.1,OLED,3
15.4,3.42,2,DR2,512GB,4.33,4917,3.1,LTPS-SCREEN,4
10.8,1.14,8,DDR3,64GB,1.3,3765,12,LTPS-SCREEN,5
4.2,0.15,4,DDR4,128GB,1.8,2208,1.3,IPS,6
13.5,5.66,2,DDR4,256GB,2.35,4641,1.2,AMOLED,1
14.1,5.7,2,DR2,1TB,2.77,2934,3.1,LED,2
15.7,2.5,2,DDR3,512GB,2.34,5768,3.1,AMOLED,3
13.9,3.61,4,DDR4,256GB,4.21,4567,1.3,IPS-LCD,4
10.1,1.05,16,DDR3,32GB,1.8,4274,3,IPS,5
3.2,0.156,2,DDR4,32GB,2.5,2208,32,LTPS-SCREEN,6
13.7,2.21,8,DR2,128GB,1.65,3957,2.1,AMOLED,1
15.2,4.32,4,DDR3,1TB,2.66,2881,3.1,LTPS-SCREEN,2
15.7,2.43,16,DR2,1TB,3.42,2745,4,IPS,3
15.4,2.99,4,DDR3,256GB,4.39,4786,4,LTPS-SCREEN,4
10.3,1.46,2,DDR4,32GB,1.5,4553,10,IPS,5
5.4,0.17,8,DDR3,16GB,1.5,1006,32,AMOLED,6
14.0,6.01,4,DDR4,512GB,2.94,3577,1.9,LTPS-SCREEN,1
15.2,4.2,2,DDR4,256GB,2.66,2637,1.9,AMOLED,2
16.0,2.54,2,DDR4,1TB,3.18,3054,4,OLED,3
15.4,3.32,16,DR2,128GB,3.93,3750,1.2,IPS-LCD,4
11.2,1.69,16,DDR4,16GB,1.8,4918,3,LTPS-SCREEN,5
5.3,0.18,4,DDR4,16GB,1.5,2731,108,LTPS-SCREEN,6
14.5,5.32,4,DR2,256GB,1.66,3856,4,IPS-LCD,1
14.8,5.31,16,DDR3,256GB,2.74,3086,2.1,LED,2
15.9,2.43,4,DR2,1TB,3.41,5099,1.2,OLED,3
14.8,3.52,8,DR2,1TB,4.17,4512,4,IPS-LCD,4
11.0,1.35,16,DR2,16GB,2.36,3445,2,LTPS-SCREEN,5
5.4,0.162,4,DDR3,128GB,1.3,2708,6,IPS-LCD,6
13.8,4.18,16,DR2,1TB,3.28,4648,1.3,LED,1
14.3,4.41,4,DR2,128GB,2.51,3504,1.2,IPS-LCD,2
15.8,2.83,4,DR2,256GB,2.6,3975,3.1,LED,3
14.1,3.5,4,DR2,256GB,4.1,4463,2.1,OLED,4
10.9,0.92,4,DDR3,16GB,1.5,3169,8,AMOLED,5
3.1,0.186,2,DR2,16GB,1.3,2969,13,IPS,6
14.2,7.64,16,DDR4,256GB,3.12,2914,4,IPS,1
14.9,5.01,16,DDR4,128GB,2.32,3542,1.9,LED,2
16.0,2.51,16,DDR3,512GB,2.65,3097,2.1,AMOLED,3
15.5,3.15,4,DDR4,128GB,4.18,3824,4,OLED,4
9.9,1.24,8,DDR4,64GB,1.8,4421,4,IPS,5
3.9,0.132,8,DDR3,32GB,2.96,3346,4,OLED,6
15.9,4.02,8,DDR4,128GB,2.81,3397,4,IPS-LCD,1
15.5,5.94,4,DDR3,512GB,2.95,3260,1.3,IPS-LCD,2
15.8,3.0,2,DR2,256GB,2.87,5402,2.1,IPS-LCD,3
14.7,3.6,4,DR2,512GB,4.18,3997,1.9,LTPS-SCREEN,4
11.2,1.56,8,DDR3,16GB,2.36,3252,1.3,AMOLED,5
3.5,0.183,4,DDR4,32GB,1.8,721,10,LED,6
15.5,2.17,16,DR2,1TB,3.02,5132,4,IPS-LCD,1
15.2,4.19,16,DDR3,512GB,2.74,3179,1.9,IPS-LCD,2
15.7,2.93,4,DR2,256GB,2.89,3389,1.9,AMOLED,3
14.8,2.91,16,DDR4,1TB,4.14,4448,1.3,IPS,4
11.9,1.57,16,DR2,32GB,1.3,3945,2,IPS,5
5.5,0.134,8,DDR4,32GB,2.36,3009,4,LED,6
15.7,6.32,2,DR2,128GB,2.86,3809,1.3,OLED,1
14.4,4.37,8,DDR4,256GB,2.51,2597,1.2,IPS-LCD,2
15.9,2.37,16,DDR4,128GB,2.34,4863,4,IPS,3
14.5,3.59,2,DDR3,1TB,4.44,4345,2.1,IPS,4
10.9,0.92,16,DDR3,64GB,1.5,4307,4,LED,5
5.5,0.186,2,DDR4,128GB,2.96,916,108,IPS,6
13.6,5.7,4,DDR3,256GB,2.09,5735,1.9,IPS-LCD,1
15.4,5.52,4,DDR3,128GB,2.82,3673,1.3,LTPS-SCREEN,2
15.8,2.56,4,DR2,256GB,2.67,4728,1.3,LED,3
13.8,3.28,4,DDR3,1TB,4.5,4580,3.1,IPS-LCD,4
11.6,1.19,8,DDR4,64GB,2.36,3789,12,AMOLED,5
4.9,0.145,4,DR2,16GB,1.3,1620,32,IPS-LCD,6
14.5,4.65,16,DR2,1TB,3.16,4821,1.3,OLED,1
14.7,5.92,16,DDR3,512GB,2.9,2553,1.3,OLED,2
15.8,2.39,16,DR2,512GB,2.58,2474,2.1,IPS,3
14.5,3.04,2,DDR4,128GB,4.0,3754,4,AMOLED,4
11.3,1.01,2,DDR4,32GB,1.3,3014,13,IPS-LCD,5
4.8,0.186,2,DDR3,16GB,2.36,2466,3,IPS-LCD,6
14.4,3.84,16,DDR3,512GB,1.95,4632,1.3,IPS,1
14.3,5.95,4,DDR4,512GB,2.79,2850,3.1,IPS,2
16.0,2.31,8,DR2,128GB,3.35,3701,1.2,IPS-LCD,3
14.6,2.98,4,DR2,128GB,4.23,4828,1.9,IPS,4
10.2,1.01,8,DR2,32GB,1.3,2973,1.3,AMOLED,5
4.4,0.185,2,DDR3,128GB,2.36,3950,1.3,LED,6
15.7,7.79,8,DDR3,512GB,3.16,4394,3.1,IPS,1
15.2,5.06,2,DDR4,256GB,2.38,3903,2.1,AMOLED,2
15.6,2.31,2,DR2,1TB,2.44,2199,4,IPS,3
14.9,3.69,8,DDR4,1TB,3.84,4178,1.2,IPS,4
10.0,1.46,2,DDR3,16GB,1.5,4869,6,OLED,5
4.5,0.162,16,DDR3,32GB,1.3,2695,3,AMOLED,6
13.1,4.26,2,DDR3,128GB,2.75,4763,3.1,LTPS-SCREEN,1
14.2,5.81,8,DR2,128GB,2.9,3863,1.3,LED,2
15.8,2.6,2,DDR3,1TB,2.37,5714,2.1,IPS-LCD,3
15.5,3.47,8,DDR4,1TB,3.8,4706,1.9,OLED,4
10.8,1.2,4,DDR4,16GB,1.3,3462,1.3,IPS,5
5.2,0.171,2,DDR3,128GB,2.36,3438,16,LTPS-SCREEN,6
13.5,7.37,4,DDR4,256GB,2.71,2385,2.1,OLED,1
14.7,4.39,4,DR2,256GB,2.86,3435,3.1,AMOLED,2
15.8,2.72,8,DR2,256GB,2.9,3737,4,IPS,3
14.5,3.08,8,DDR3,128GB,4.04,4846,3.1,LED,4
10.4,1.23,16,DDR4,64GB,1.3,4748,1.3,AMOLED,5
5.2,0.19,8,DDR3,128GB,1.8,1982,48,LTPS-SCREEN,6
13.6,4.81,8,DDR4,256GB,3.29,5634,1.2,IPS,1
14.6,4.47,2,DR2,512GB,2.75,2612,1.9,LTPS-SCREEN,2
15.8,2.38,8,DDR4,128GB,3.22,3953,1.9,AMOLED,3
15.5,3.35,4,DDR3,256GB,4.25,4950,1.2,AMOLED,4
11.7,1.02,4,DR2,32GB,1.3,4933,10,IPS-LCD,5
5.4,0.162,8,DDR4,64GB,1.3,647,6,IPS-LCD,6
13.9,2.39,16,DDR3,1TB,2.58,5227,1.9,OLED,1
14.5,4.67,8,DDR4,512GB,2.75,2914,3.1,IPS,2
15.9,2.37,2,DR2,256GB,3.23,4722,3.1,LTPS-SCREEN,3
14.6,3.29,2,DDR4,128GB,4.33,3620,4,LTPS-SCREEN,4
10.6,1.7,2,DDR4,16GB,2.36,3726,1.3,LED,5
3.6,0.174,2,DR2,64GB,2.36,2704,48,LED,6
14.8,5.54,16,DDR3,128GB,1.94,4043,4,AMOLED,1
15.3,4.53,4,DDR4,128GB,2.82,3168,4,AMOLED,2
15.7,2.84,16,DDR4,1TB,3.25,3224,1.9,LED,3
15.3,3.05,4,DR2,512GB,3.88,3755,3.1,LED,4
9.9,1.3,4,DDR3,32GB,1.3,4475,8,OLED,5
3.3,0.177,16,DR2,32GB,2.5,3835,48,LTPS-SCREEN,6
14.0,6.07,8,DR2,1TB,2.37,4043,2.1,IPS-LCD,1
15.5,4.77,8,DDR3,1TB,2.46,2941,1.9,LTPS-SCREEN,2
15.8,2.33,16,DDR3,128GB,3.12,5881,4,AMOLED,3
14.2,3.38,8,DR2,1TB,4.44,3814,4,LTPS-SCREEN,4
11.1,1.02,16,DDR3,64GB,1.3,4085,12,LED,5
4.4,0.139,4,DDR4,64GB,2.36,993,108,IPS-LCD,6
14.8,4.75,16,DDR3,256GB,2.14,4195,3.1,LTPS-SCREEN,1
14.6,5.53,4,DR2,256GB,2.72,2748,1.2,IPS-LCD,2
15.9,2.86,4,DR2,256GB,3.15,4220,4,AMOLED,3
14.9,3.79,8,DDR3,512GB,4.27,4418,3.1,IPS,4
11.2,1.64,2,DR2,32GB,1.8,3701,13,IPS,5
3.2,0.165,8,DR2,16GB,1.3,1856,6,LED,6
14.0,2.19,4,DR2,256GB,2.99,3452,4,OLED,1
15.5,5.14,4,DDR3,128GB,2.91,3949,1.2,AMOLED,2
15.9,2.66,2,DR2,512GB,2.34,4331,1.9,AMOLED,3
15.5,3.51,4,DDR4,128GB,4.39,4868,2.1,OLED,4
